Species,BL.H_N
Acanthogobius flavimanus,0
Acanthopagrus latus,0
Acanthopagrus sp.,123
Acentrogobius pflaumii,0
Anguilla japonica,0
Arothron firmamentum,0
Benthosema pterotum,81
Beryx splendens,0
Callogobius tanegasimae,0
Canthigaster rivulata,0
Caranx heberi,0
Caranx ignobilis,0
Caranx papuensis,0
Caranx sp.,0
Carassius spp.1,0
Chaenogobius annularis,0
Chaetodontoplus sp.,0
Cheilodactylus sp.,78
Chelidonichthys sp.1,0
Chelon affinis,0
Cociella crocodila,0
Cololabis saira,0
Ctenopharyngodon idella,0
Cyprinus carpio,0
Dasyatis akajei,0
Decapterus maruadsi,66
Diaphus watasei,24
Dictyosoma burgeri Form a,0
Dictyosoma rubrimaculatum,0
Ditrema sp.1,21
Eleotris oxycephala,0
Eleotris sp.,0
Engraulis japonicus,2851
Epinephelus sp.,0
Equulites rivulatus,0
Etrumeus teres,0
Eviota abax,0
Evynnis / Dentex,204
Favonigobius gymnauchen / Acanthogobius lactipes,0
Favonigobius sp.,0
Gadus sp.1,0
Gerres filamentosus,0
Gerres equulus,0
Girella punctata,15482
Glossogobius olivaceus,0
Gymnogobius sp.,0
Gymnogobius urotaenia,0
Gymnothorax sp.,0
Halichoeres poecilopterus,15
Halichoeres tenuispinis,15
Harpadon microchir,0
Hexagrammos sp.1,0
Hyporhamphus sajori,0
Inimicus japonicus,0
Istigobius campbelli,0
Istigobius hoshinonis,0
Jaydia lineata,0
Katsuwonus pelamis,0
Konosirus punctatus,0
Kuhlia marginata,0
Lagocephalus sp.,0
Lateolabrax japonicus,161
Lateolabrax latus,88
Lepidotrigla sp.1,0
Leucopsarion petersii / Priolepis boreus,0
Luciogobius pallidus,0
Luciogobius sp.1,0
Mugil cephalus,299
Mugilogobius abei,0
Myersina filifer,0
Neoclinus bryope,0
Nuchequula nuchalis,0
Omobranchus elegans,0
Omobranchus punctatus,0
Oncorhynchus sp.1,0
Onigocia spinosa,0
Ophisurus macrorhynchos,0
Oplegnathus fasciatus,157
Oplegnathus punctatus,0
Opsariichthys platypus,0
Oryzias sp.,0
Ostorhinchus notatus,0
Ostracion sp.,0
Pagrus major,176
Parablennius yatabei,0
Paracentropogon rubripinnis,0
Paralichthys olivaceus,14
Parapercis multifasciata,4
Paraplagusia japonica,0
Parapristipoma trilineatum,1643
Parioglossus dotui,0
Pholis sp.,0
Platycephalus sp. MAGOCHI,0
Plectorhinchus cinctus,0
Pleuronichthys cornutus,0
Pleuronichthys japonicus,0
Plotosus japonicus,80
Pomacentrus coelestis,0
Pseudoblennius percoides,0
Pseudolabrus eoethinus,17
Pseudolabrus sieboldi,1663
Pseudopleuronectes / Pleuronectes / Hippoglossoides,0
Pseudorasbora parva,0
Pterogobius elapoides,0
Pterogobius virgo,0
Pterogobius zonoleucus,0
Redigobius bikolanus,0
Repomucenus curvicornis / Calliurichthys japonicus,0
Repomucenus sp.1,0
Repomucenus valenciennei,0
Rhinogobius giurinus,0
Rhinogobius sp.1,0
Rhynchocypris lagowskii steindachneri,0
Rhynchopelates oxyrhynchus,0
Rudarius ercodes,0
Sagamia geneionema,0
Salvelinus sp.2,0
Sardinella lemuru,0
Sardinops melanostictus,0
Saurida sp.2,0
Scomber sp.,0
Scomberoides lysan,0
Scorpaena miostoma,91
Scorpaenodes evides,0
Sebastes sp.1,0
Sebastiscus marmoratus,3153
Semicossyphus reticulatus,55
Seriola dumerili,0
Seriola quinqueradiata,22
Siganus sp.,17
Sillago japonica,0
Sphyraena pinguis,0
Squatina japonica,0
Stephanolepis cirrhifer,126
Stephanolepis sp.,0
Stethojulis terina,0
Symphurus cf microrhynchus,4
Takifugu / Lagocephalus,0
Takifugu sp.1,13
Takifugu sp.3,0
Terapon jarbua,0
Thamnaconus modestus,0
Thunnus sp.1,0
Trachurus sp.1,416
Trachurus trachurus,0
Tribolodon sp.,0
Trichiurus lepturus,0
Tridentiger sp.1,0
Tridentiger trigonocephalus,0
Upeneus japonicus,0
Xiphias gladius,0
Zoarchias glaber,0
Zoarchias neglectus,33
