"","Species","habitat_class"
"1","Acanthogobius flavimanus",3
"2","Acanthopagrus latus",3
"3","Acanthopagrus sp.",5
"4","Acentrogobius pflaumii",5
"5","Acropoma japonicum",6
"6","Aluterus sp.",6
"7","Amblychaeturichthys sciistius",6
"8","Anguilla japonica",3
"9","Apogonichthyoides niger",6
"10","Arothron firmamentum",6
"11","Arothron sp.",5
"12","Atherion elymus",6
"13","Auxis rochei",5
"14","Benthosema pterotum",6
"15","Beryx splendens",6
"16","Brachysomophis crocodilinus",6
"17","Branchiostegus japonicus",6
"18","Bregmaceros atlanticus",6
"19","Callogobius tanegasimae",4
"20","Canthigaster rivulata",6
"21","Caprodon schlegelii",6
"22","Caranx heberi",5
"23","Caranx ignobilis",5
"24","Caranx papuensis",5
"25","Caranx sp.",3
"26","Carassius spp.",2
"27","Carassius spp.1",2
"28","Chaenogobius annularis",1
"29","Chaenogobius gulosus",5
"30","Chaetodontoplus sp.",6
"31","Cheilodactylus sp.",6
"32","Chelidonichthys sp.",5
"33","Chelidonichthys sp.1",5
"34","Chelon affinis",5
"35","Choerodon azurio",6
"36","Clariger cosmurus",6
"37","Clupea pallasii",3
"38","Cociella crocodila",6
"39","Cololabis saira",6
"40","Conger erebennus",6
"41","Conger myriaster",6
"42","Ctenopharyngodon idella",2
"43","Cyclothone atraria",6
"44","Cynoglossus interruptus",6
"45","Cyprinus carpio",2
"46","Dasyatis akajei",5
"47","Decapterus maruadsi",6
"48","Diaphus chrysorhynchus",6
"49","Diaphus sp",6
"50","Diaphus suborbitalis",6
"51","Diaphus watasei",6
"52","Dictyosoma burgeri Form a",6
"53","Dictyosoma rubrimaculatum",6
"54","Diplospinus multistriatus",6
"55","Ditrema sp.",6
"56","Ditrema sp.1",6
"57","Eleotris oxycephala",3
"58","Eleotris sp.",3
"59","Engraulis japonicus",6
"60","Enneapterygius etheostomus",6
"61","Eopsetta grigorjewi",6
"62","Epinephelus septemfasciatus",6
"63","Epinephelus sp.",6
"64","Equulites rivulatus",6
"65","Etrumeus teres",6
"66","Euthynnus affinis",6
"67","Eviota abax",6
"68","Evynnis / Dentex",6
"69","Favonigobius gymnauchen / Acanthogobius lactipes",3
"70","Favonigobius sp.",3
"71","Gadus sp.",5
"72","Gadus sp.1",5
"73","Gerres equulus",6
"74","Gerres filamentosus",3
"75","Gerres sp.",5
"76","Girella punctata",6
"77","Glossogobius olivaceus",3
"78","Gonorynchus abbreviatus",6
"79","Gymnocranius griseus",6
"80","Gymnogobius sp.",3
"81","Gymnogobius urotaenia",3
"82","Gymnothorax sp.",6
"83","Halichoeres poecilopterus",6
"84","Halichoeres tenuispinis",6
"85","Harpadon microchir",6
"86","Heteromycteris japonicus",6
"87","Hexagrammos otakii",6
"88","Hexagrammos sp.",6
"89","Hexagrammos sp.1",6
"90","Hippocampus coronatus",6
"91","Hippocampus mohnikei",6
"92","Hyperoglyphe / Seriolella",6
"93","Hyporhamphus sajori",3
"94","Inimicus japonicus",6
"95","Istigobius campbelli",6
"96","Istigobius hoshinonis",6
"97","Jaydia carinatus",6
"98","Jaydia lineata",6
"99","Kareius bicoloratus",3
"100","Katsuwonus pelamis",6
"101","Konosirus punctatus",5
"102","Kuhlia marginata",2
"103","Labracoglossa argenteiventris",6
"104","Laemonema longipes",6
"105","Lagocephalus sp.",5
"106","Lateolabrax japonicus",3
"107","Lateolabrax latus",6
"108","Lepadichthys frenatus",6
"109","Lepidotrigla sp.",6
"110","Lepidotrigla sp.1",6
"111","Leucopsarion petersii / Priolepis boreus",6
"112","Liparis punctulatus",6
"113","Lophius litulon",6
"114","Luciogobius pallidus",3
"115","Luciogobius sp.",6
"116","Luciogobius sp.1",6
"117","Lutjanus sp.",5
"118","Maurolicus japonicus",6
"119","Maurolicus muelleri",6
"120","Microstomus achne",6
"121","Mugil cephalus",3
"122","Mugilogobius abei",5
"123","Mustelus manazo",6
"124","Myersina filifer",6
"125","Myliobatis tobijei",6
"126","Nannobrachium sp.",6
"127","Neoclinus bryope",6
"128","Notoscopelus japonicus",6
"129","Nuchequula nuchalis",5
"130","Omobranchus elegans",6
"131","Omobranchus punctatus",5
"132","Oncorhynchus kisutch",3
"133","Oncorhynchus sp.",3
"134","Oncorhynchus sp.1",3
"135","Onigocia spinosa",6
"136","Ophisurus macrorhynchos",6
"137","Oplegnathus fasciatus",6
"138","Oplegnathus punctatus",6
"139","Opsariichthys platypus",1
"140","Oryzias sp.",2
"141","Ostorhinchus endekataenia",6
"142","Ostorhinchus notatus",6
"143","Ostorhinchus semilineatus",5
"144","Ostracion sp.",6
"145","Pagrus major",6
"146","Parablennius yatabei",6
"147","Paracentropogon rubripinnis",6
"148","Paralichthys olivaceus",6
"149","Paramonacanthus sp.",6
"150","Parapercis multifasciata",6
"151","Parapercis pulchella",6
"152","Paraplagusia japonica",6
"153","Parapristipoma trilineatum",6
"154","Parioglossus dotui",5
"155","Parupeneus spilurus",5
"156","Pempheris schwenkii",6
"157","Pennahia argentata",6
"158","Petroscirtes breviceps",5
"159","Pholis nebulosa",6
"160","Pholis sp.",6
"161","Platycephalus sp. MAGOCHI",5
"162","Plecoglossus altivelis altivelis",3
"163","Plectorhinchus cinctus",6
"164","Pleurogrammus azonus",6
"165","Pleuronichthys cornutus",6
"166","Pleuronichthys japonicus",6
"167","Plotosus japonicus",6
"168","Polyipnus matsubarai",6
"169","Polypterus endlicherii endlicherii",1
"170","Pomacentrus coelestis",6
"171","Priacanthus sagittarius",6
"172","Psenopsis anomala",6
"173","Psenopsis sp.",6
"174","Pseudoblennius percoides",6
"175","Pseudocaranx dentex",5
"176","Pseudolabrus eoethinus",6
"177","Pseudolabrus sieboldi",6
"178","Pseudopleuronectes / Pleuronectes / Hippoglossoides",6
"179","Pseudorasbora parva",2
"180","Pseudorhombus pentophthalmus",6
"181","Pterogobius elapoides",6
"182","Pterogobius virgo",6
"183","Pterogobius zonoleucus",6
"184","Redigobius bikolanus",3
"185","Repomucenus curvicornis / Calliurichthys japonicus",3
"186","Repomucenus sp.",6
"187","Repomucenus sp.1",6
"188","Repomucenus valenciennei",6
