,Symbol,qPCR_Carp
1,RA.H_J,450187
2,RA.H_N,212383
3,RA.L_J,589980
4,RA.L_N,53895
5,RB.H_J,569380
6,RB.H_N,193905
7,RB.L_J,523793
8,RB.L_N,155842
9,RC.H_J,16798
10,RC.H_N,18744
11,RC.L_J,121069
12,RC.L_N,102436
13,RD.H_J,4166
14,RD.H_N,8463
15,RD.L_J,52466
16,RD.L_N,131739
17,RE.H_J,4115
18,RE.H_N,6119
19,RE.L_J,38981
20,RE.L_N,97749
21,S1.H_J,471
22,S1.H_N,403
23,S1.L_J,2738
24,S1.L_N,520
25,S2.H_J,511
26,S2.H_N,132
27,S2.L_J,1792
28,S2.L_N,62
29,S3.H_J,226
30,S3.H_N,121
31,S3.L_J,2229
32,S3.L_N,1284
33,S4.H_J,393
34,S4.H_N,79
35,S4.L_J,288
36,S4.L_N,0
37,S5.H_J,156
38,S5.H_N,968
39,S5.L_J,1170
40,S5.L_N,334
41,S6.H_J,261
42,S6.H_N,190
43,S6.L_J,351
44,S6.L_N,597
45,S7B.H_J,105
46,S7B.H_N,34
47,S7B.L_J,243
48,S7B.L_N,249
49,S7U.H_J,764
50,S7U.H_N,97
51,S7U.L_J,438
52,S7U.L_N,1734
53,S8B.H_J,0
54,S8B.H_N,0
55,S8B.L_J,0
56,S8B.L_N,0
57,S8U.H_J,0
58,S8U.H_N,0
59,S8U.L_J,0
60,S8U.L_N,0
