,Month,Tide,Symbol,Site,Site2,Group1,Group2,Group3,UB,pair_id,remove,long,lat,Depth,WT,PSU,Turb.,Chl_a,qPCR_Carp
1,J,High,RA.H_J,RA,RA,R,R,R,U,16,FALSE,139.6894,35.243375,1.1,11.72,27.46,2.04,2.06,450187
2,N,High,RA.H_N,RA,RA,R,R,R,U,1,FALSE,139.6894,35.243375,1.3,18.76,25.29,2.26,15.36,212383
3,J,Low,RA.L_J,RA,RA,R,R,R,U,16,FALSE,139.6894,35.243375,0.8,14.43,30.97,2.7,1.24,589980
4,N,Low,RA.L_N,RA,RA,R,R,R,U,1,FALSE,139.6894,35.243375,0.4,19.55,26.44,5.07,15.12,53895
5,J,High,RB.H_J,RB,RB,R,R,R,U,17,FALSE,139.6989861,35.23674722,2,11.81,27.86,1.86,3.27,569380
6,N,High,RB.H_N,RB,RB,R,R,R,U,2,FALSE,139.6989861,35.23674722,2.2,18.1,24.29,2.03,7.32,193905
7,J,Low,RB.L_J,RB,RB,R,R,R,U,17,FALSE,139.6989861,35.23674722,1.5,14.15,30.38,1.95,1.24,523793
8,N,Low,RB.L_N,RB,RB,R,R,R,U,2,FALSE,139.6989861,35.23674722,1.1,19.72,28.6,6.86,15.12,155842
9,J,High,RC.H_J,RC,RC,R,R,R,U,18,FALSE,139.7049722,35.23181111,3,11.75,29.84,1.09,0.95,16798
10,N,High,RC.H_N,RC,RC,R,R,R,U,3,FALSE,139.7049722,35.23181111,3,17.08,26.01,1.13,3.22,18744
11,J,Low,RC.L_J,RC,RC,R,R,R,U,18,FALSE,139.7049722,35.23181111,2.3,13,26.1,1.37,0.69,121069
12,N,Low,RC.L_N,RC,RC,R,R,R,U,3,FALSE,139.7049722,35.23181111,2.1,17.23,20.72,1.74,3.33,102436
13,J,High,RD.H_J,RD,RD,R,R,R,U,19,FALSE,139.7104972,35.22953611,2.9,12.24,31.75,0.91,0.9,4166
14,N,High,RD.H_N,RD,RD,R,R,R,U,4,FALSE,139.7104972,35.22953611,3.9,17.26,29.42,0.81,1.44,8463
15,J,Low,RD.L_J,RD,RD,R,R,R,U,19,FALSE,139.7104972,35.22953611,2.4,12.59,26.85,1.45,0.76,52466
16,N,Low,RD.L_N,RD,RD,R,R,R,U,4,FALSE,139.7104972,35.22953611,3.1,16.76,22.76,1.29,1.52,131739
17,J,High,RE.H_J,RE,RE,R,R,R,U,20,FALSE,139.7148417,35.22674722,3.3,12.11,31.83,0.91,0.85,4115
18,N,High,RE.H_N,RE,RE,R,R,R,U,5,FALSE,139.7148417,35.22674722,3.3,17.29,29.97,0.67,1.49,6119
19,J,Low,RE.L_J,RE,RE,R,R,R,U,20,FALSE,139.7148417,35.22674722,2.7,12.77,28.74,1.35,0.9,38981
20,N,Low,RE.L_N,RE,RE,R,R,R,U,5,FALSE,139.7148417,35.22674722,2.6,16.91,23.45,1.14,1.65,97749
21,J,High,S1.H_J,S1,S1,IB,BD,S,U,21,FALSE,139.7148917,35.22085,9.2,13.92,33.99,1.07,0.54,471
22,N,High,S1.H_N,S1,S1,IB,BD,S,U,6,FALSE,139.7148917,35.22085,9.1,17.6,32.07,0.57,0.95,403
23,J,Low,S1.L_J,S1,S1,IB,BD,S,U,21,FALSE,139.7148917,35.22085,8.6,13.77,33.66,1.11,0.7,2738
24,N,Low,S1.L_N,S1,S1,IB,BD,S,U,6,FALSE,139.7148917,35.22085,12,17.76,32.13,1,1.06,520
25,J,High,S2.H_J,S2,S2,IB,BS,S,U,22,FALSE,139.7143194,35.22511944,2.5,13.84,34,1.04,0.85,511
26,N,High,S2.H_N,S2,S2,IB,BS,S,U,7,FALSE,139.7143194,35.22511944,2.1,17.52,32.2,0.51,0.83,132
27,J,Low,S2.L_J,S2,S2,IB,BS,S,U,22,FALSE,139.7143194,35.22511944,1.4,13.83,33.79,1.32,0.72,1792
28,N,Low,S2.L_N,S2,S2,IB,BS,S,U,7,FALSE,139.7143194,35.22511944,1.4,17.02,32.13,0.71,1.55,62
29,J,High,S3.H_J,S3,S3,IB,BS,S,U,23,FALSE,139.7166667,35.22624444,2.5,13.41,33.98,1.39,0.85,226
30,N,High,S3.H_N,S3,S3,IB,BS,S,U,8,FALSE,139.7166667,35.22624444,2.8,17.61,32.22,0.39,0.65,121
31,J,Low,S3.L_J,S3,S3,IB,BS,S,U,23,FALSE,139.7166667,35.22624444,1.8,13.89,33.95,1.72,0.85,2229
32,N,Low,S3.L_N,S3,S3,IB,BS,S,U,8,TRUE,139.7166667,35.22624444,1.9,17.7,32.23,0.47,1.86,1284
33,J,High,S4.H_J,S4,S4,IB,BS,S,U,24,FALSE,139.7203889,35.227825,3.7,14.09,34.05,1.28,0.95,393
34,N,High,S4.H_N,S4,S4,IB,BS,S,U,9,FALSE,139.7203889,35.227825,4.3,17.65,32.27,0.41,0.79,79
35,J,Low,S4.L_J,S4,S4,IB,BS,S,U,24,FALSE,139.7203889,35.227825,3.3,14.41,34.05,2.18,1.08,288
36,N,Low,S4.L_N,S4,S4,IB,BS,S,U,9,TRUE,139.7203889,35.227825,3.2,17.72,32.3,0.46,0.72,0
37,J,High,S5.H_J,S5,S5,IB,BD,S,U,25,FALSE,139.7170694,35.22412222,10,13.87,34,0.95,0.89,156
38,N,High,S5.H_N,S5,S5,IB,BD,S,U,10,TRUE,139.7170694,35.22412222,10.1,17.76,32.09,1.27,0.97,968
39,J,Low,S5.L_J,S5,S5,IB,BD,S,U,25,FALSE,139.7170694,35.22412222,9.2,13.89,33.83,0.87,0.95,1170
40,N,Low,S5.L_N,S5,S5,IB,BD,S,U,10,FALSE,139.7170694,35.22412222,9.2,17.69,31.95,0.51,1.06,334
41,J,High,S6.H_J,S6,S6,IB,BS,S,U,26,FALSE,139.7199861,35.22576944,5.9,13.99,34.11,1.11,0.77,261
42,N,High,S6.H_N,S6,S6,IB,BS,S,U,11,FALSE,139.7199861,35.22576944,5.5,17.77,32.25,0.43,1.64,190
43,J,Low,S6.L_J,S6,S6,IB,BS,S,U,26,FALSE,139.7199861,35.22576944,4.8,13.94,33.93,2.42,1.01,351
44,N,Low,S6.L_N,S6,S6,IB,BS,S,U,11,FALSE,139.7199861,35.22576944,5.2,17.73,32.11,0.43,1.21,597
45,J,High,S7B.H_J,S7B,S7,IB,BD,S,B,28,FALSE,139.7208444,35.22418889,8.1,13.9,34.01,0.94,0.85,105
46,N,High,S7B.H_N,S7B,S7,IB,BD,S,B,13,TRUE,139.7208444,35.22418889,9.1,18.15,32.69,0.38,1.3,34
47,J,Low,S7B.L_J,S7B,S7,IB,BD,S,B,28,FALSE,139.7208444,35.22418889,7.3,14.01,33.96,1.81,0.91,243
48,N,Low,S7B.L_N,S7B,S7,IB,BD,S,B,13,FALSE,139.7208444,35.22418889,7.8,17.96,32.52,0.46,0.83,249
49,J,High,S7U.H_J,S7U,S7,IB,BD,S,U,27,FALSE,139.7208444,35.22418889,8.1,13.2,33.63,0.94,0.81,764
50,N,High,S7U.H_N,S7U,S7,IB,BD,S,U,12,TRUE,139.7208444,35.22418889,9.1,17.81,32.37,0.53,1.48,97
51,J,Low,S7U.L_J,S7U,S7,IB,BD,S,U,27,FALSE,139.7208444,35.22418889,7.3,13.98,33.97,2.23,0.99,438
52,N,Low,S7U.L_N,S7U,S7,IB,BD,S,U,12,FALSE,139.7208444,35.22418889,7.8,17.82,32.27,0.61,1.15,1734
53,J,High,S8B.H_J,S8B,S8,OB,S,S,B,30,FALSE,139.7358417,35.21270278,8.8,15.04,34.34,0.32,0.64,0
54,N,High,S8B.H_N,S8B,S8,OB,S,S,B,15,FALSE,139.7358417,35.21270278,8.4,18.58,33.11,0.43,1.35,0
55,J,Low,S8B.L_J,S8B,S8,OB,S,S,B,30,FALSE,139.7358417,35.21270278,7.4,15.95,34.6,0.22,0.56,0
56,N,Low,S8B.L_N,S8B,S8,OB,S,S,B,15,FALSE,139.7358417,35.21270278,7.7,18.44,32.69,0.49,1.45,0
57,J,High,S8U.H_J,S8U,S8,OB,S,S,U,29,FALSE,139.7358417,35.21270278,8.8,15.35,34.42,0.28,0.58,0
58,N,High,S8U.H_N,S8U,S8,OB,S,S,U,14,FALSE,139.7358417,35.21270278,8.4,18.42,32.94,0.42,1.36,0
59,J,Low,S8U.L_J,S8U,S8,OB,S,S,U,29,FALSE,139.7358417,35.21270278,7.4,15.97,34.61,0.18,0.47,0
60,N,Low,S8U.L_N,S8U,S8,OB,S,S,U,14,FALSE,139.7358417,35.21270278,7.7,18.43,32.68,0.46,1.29,0
