,X,Month,Tide,Symbol,Site,Site2,Group1,Group2,Group3,UB,pair_id,remove,long,lat,Depth,WT,PSU,Turb.,Chl_a,qPCR_Carp,qPCR_Carp_ND,ttl_reads,n_sp,en_sp,Cyprinus.carpio,Mugil.cephalus,Lateolabrax.japonicus,Girella.punctata,dominant_sp,dominant_sp_reads,distance_from,distance_from_upstream,distance_from_upstream_cumulative
1,1,J,High,RA.H_J,RA,RA,R,R,R,U,16,FALSE,139.6894,35.243375,1.1,11.72,27.46,2.04,2.06,450187,450187,88413,27,2.427161124,0.601913746,0.204879373,0.009930666,0,Cyprinus carpio,0.601913746,NA,0,0
2,2,N,High,RA.H_N,RA,RA,R,R,R,U,1,FALSE,139.6894,35.243375,1.3,18.76,25.29,2.26,15.36,212383,212383,9231,16,2.453691128,0.363340916,0.522261943,0.002924927,0,Mugil cephalus,0.522261943,NA,0,0
3,3,J,Low,RA.L_J,RA,RA,R,R,R,U,16,FALSE,139.6894,35.243375,0.8,14.43,30.97,2.7,1.24,589980,589980,41036,22,2.139761945,0.189955161,0.65320694,0.019641291,0,Mugil cephalus,0.65320694,NA,0,0
4,4,N,Low,RA.L_N,RA,RA,R,R,R,U,1,FALSE,139.6894,35.243375,0.4,19.55,26.44,5.07,15.12,53895,53895,50933,25,1.397351737,0.079751831,0.841674357,0.011171539,0,Mugil cephalus,0.841674357,NA,0,0
5,5,J,High,RB.H_J,RB,RB,R,R,R,U,17,FALSE,139.6989861,35.23674722,2,11.81,27.86,1.86,3.27,569380,569380,119991,32,2.270474461,0.331466527,0.573459676,0.00471702,0.000200015,Mugil cephalus,0.573459676,RA,1141.056336,1141.056336
6,6,N,High,RB.H_N,RB,RB,R,R,R,U,2,FALSE,139.6989861,35.23674722,2.2,18.1,24.29,2.03,7.32,193905,193905,61224,24,2.343959851,0.27706455,0.588674376,0.006533386,0,Mugil cephalus,0.588674376,RA,1141.056336,1141.056336
7,7,J,Low,RB.L_J,RB,RB,R,R,R,U,17,FALSE,139.6989861,35.23674722,1.5,14.15,30.38,1.95,1.24,523793,523793,54362,31,2.370339538,0.153875869,0.624553916,0.016905191,0,Mugil cephalus,0.624553916,RA,1141.056336,1141.056336
8,8,N,Low,RB.L_N,RB,RB,R,R,R,U,2,FALSE,139.6989861,35.23674722,1.1,19.72,28.6,6.86,15.12,155842,155842,64623,29,2.234593276,0.225105613,0.626959442,0.020132151,0,Mugil cephalus,0.626959442,RA,1141.056336,1141.056336
9,9,J,High,RC.H_J,RC,RC,R,R,R,U,18,FALSE,139.7049722,35.23181111,3,11.75,29.84,1.09,0.95,16798,16798,74697,24,2.06219028,0.661191212,0.208977603,0.005649491,0,Cyprinus carpio,0.661191212,RB,772.5406925,1913.597029
10,10,N,High,RC.H_N,RC,RC,R,R,R,U,3,FALSE,139.7049722,35.23181111,3,17.08,26.01,1.13,3.22,18744,18744,80644,42,3.40055377,0.084209613,0.513491394,0.035104906,0,Mugil cephalus,0.513491394,RB,772.5406925,1913.597029
