"","X","Month","Tide","Symbol","Site","Site2","Group1","Group2","Group3","UB","pair_id","remove","long","lat","Depth","WT","PSU","Turb.","Chl_a","qPCR_Carp","ttl_reads","n_sp","en_sp","Cyprinus.carpio","Mugil.cephalus","Lateolabrax.japonicus","Girella.punctata","dominant_sp","dominant_sp_reads"
"1",1,"J","High","RA.H_J","RA","RA","R","R","R","U",16,FALSE,139.6894,35.243375,1.1,11.72,27.46,2.04,2.06,450188,88458,33,2.42963221433321,0.601607542562572,0.20477514752764,0.00992561441588098,0,"Cyprinus carpio",0.601607542562572
"2",2,"N","High","RA.H_N","RA","RA","R","R","R","U",1,FALSE,139.6894,35.243375,1.3,18.76,25.29,2.26,15.36,212384,9241,18,2.45900652326046,0.362947732929337,0.521696786062114,0.00292176171410021,0,"Mugil cephalus",0.521696786062114
"3",3,"J","Low","RA.L_J","RA","RA","R","R","R","U",16,FALSE,139.6894,35.243375,0.8,14.43,30.97,2.7,1.24,589981,41082,29,2.144560955435,0.189742466286938,0.652475536731415,0.0196192979893871,0,"Mugil cephalus",0.652475536731415
"4",4,"N","Low","RA.L_N","RA","RA","R","R","R","U",1,FALSE,139.6894,35.243375,0.4,19.55,26.44,5.07,15.12,53896,50960,30,1.39883351107728,0.0797095761381476,0.8412284144427,0.0111656200941915,0,"Mugil cephalus",0.8412284144427
"5",5,"J","High","RB.H_J","RB","RB","R","R","R","U",17,FALSE,139.6989861,35.23674722,2,11.81,27.86,1.86,3.27,569381,120015,37,2.27138276744717,0.331400241636462,0.573344998541849,0.00471607715702204,0.000199975003124609,"Mugil cephalus",0.573344998541849
"6",6,"N","High","RB.H_N","RB","RB","R","R","R","U",2,FALSE,139.6989861,35.23674722,2.2,18.1,24.29,2.03,7.32,193906,61263,31,2.34694669808836,0.276888170673979,0.588299626201786,0.00652922644989635,0,"Mugil cephalus",0.588299626201786
"7",7,"J","Low","RB.L_J","RB","RB","R","R","R","U",17,FALSE,139.6989861,35.23674722,1.5,14.15,30.38,1.95,1.24,523794,54401,37,2.37374127813432,0.153765555780225,0.624106174518851,0.0168930718185327,0.000147056120291906,"Mugil cephalus",0.624106174518851
"8",8,"N","Low","RB.L_N","RB","RB","R","R","R","U",2,FALSE,139.6989861,35.23674722,1.1,19.72,28.6,6.86,15.12,155843,64653,34,2.23666826538643,0.225001160038977,0.62666852272903,0.0201228094597312,0,"Mugil cephalus",0.62666852272903
"9",9,"J","High","RC.H_J","RC","RC","R","R","R","U",18,FALSE,139.7049722,35.23181111,3,11.75,29.84,1.09,0.95,16799,74736,30,2.06434400815828,0.660846178548491,0.208868550631556,0.00564654249625348,0,"Cyprinus carpio",0.660846178548491
"10",10,"N","High","RC.H_N","RC","RC","R","R","R","U",3,FALSE,139.7049722,35.23181111,3,17.08,26.01,1.13,3.22,18745,80679,47,3.40350566580542,0.0841730809752228,0.513268632481811,0.0350896763717944,0,"Mugil cephalus",0.513268632481811
"11",11,"J","Low","RC.L_J","RC","RC","R","R","R","U",18,FALSE,139.7049722,35.23181111,2.3,13,26.1,1.37,0.69,121070,76583,43,1.72941881703416,0.0560698849614144,0.753613726283901,0.0267161119308463,0.000182808195030229,"Mugil cephalus",0.753613726283901
"12",12,"N","Low","RC.L_N","RC","RC","R","R","R","U",3,FALSE,139.7049722,35.23181111,2.1,17.23,20.72,1.74,3.33,102437,76166,42,3.20711575544332,0.183664627261508,0.511133576661502,0.0248273507864401,0,"Mugil cephalus",0.511133576661502
"13",13,"J","High","RD.H_J","RD","RD","R","R","R","U",19,FALSE,139.7104972,35.22953611,2.9,12.24,31.75,0.91,0.9,4167,61398,50,5.22236686365154,0.0377210984071142,0.374067559203883,0.0529170331281149,0.0110427049741034,"Mugil cephalus",0.374067559203883
"14",14,"N","High","RD.H_N","RD","RD","R","R","R","U",4,FALSE,139.7104972,35.22953611,3.9,17.26,29.42,0.81,1.44,8464,21727,55,6.11558567301339,0.0686242923551342,0.361991991531274,0.063147236157776,0.00216320706954481,"Mugil cephalus",0.361991991531274
"15",15,"J","Low","RD.L_J","RD","RD","R","R","R","U",19,FALSE,139.7104972,35.22953611,2.4,12.59,26.85,1.45,0.76,52467,89129,45,3.91100043852703,0.148043846559481,0.462318661715042,0.0395494171369588,0.00774158803531959,"Mugil cephalus",0.462318661715042
